anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
2,0.1576,0.5576,0.4928,0.0156,0.90829998254776,5.161099910736084
3,0.1939,0.5576,0.5272,0.0095,0.8327000141143799,3.130399942398072
4,0.1939,0.4485,0.5616,0.0131,0.8665000200271606,4.322299957275392
5,0.6667,0.703,0.5616,0.0106,0.8083999752998352,3.4835999011993413
6,0.703,0.703,0.5616,0.0179,0.9128000140190125,5.9099998474121085
9,0.1939,0.4485,0.596,0.0203,0.9700000286102296,6.683700084686277
10,0.8485,0.4485,0.596,0.0245,0.9652000069618224,8.083999633789062
13,0.8121,0.4485,0.6648,0.0104,0.8694999814033508,3.4267001152038574
23,0.3758,0.5939,0.8367,0.0171,0.9253000020980836,5.632800102233888
24,0.4121,0.5939,0.8367,0.0196,0.9574999809265136,6.464399814605713
25,0.703,0.5939,0.9054,0.0214,0.9739999771118164,7.053599834442139
26,0.7394,0.5939,0.9054,0.0162,0.9610999822616576,5.342100143432617
27,0.703,0.6303,0.9054,0.0239,0.9805999994277954,7.871600151062013
28,0.7394,0.6303,0.9054,0.0173,0.9323999881744384,5.703700065612793
