anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
2,0.2381,0.6952,0.3247,0.0147,0.8637999892234802,6.162199974060059
3,0.2667,0.6952,0.3247,0.0134,0.8639000058174133,5.6170997619628915
4,0.18100000000000002,0.5524,0.3636,0.0123,0.8673999905586243,5.151100158691406
5,0.2381,0.6952,0.3636,0.0206,0.9745000004768372,8.660400390625
6,0.2667,0.6952,0.3636,0.0192,0.9684000015258788,8.06190013885498
7,0.2381,0.4381,0.4026,0.0132,0.9438999891281128,5.537799835205078
8,0.2952,0.3524,0.4416,0.0171,0.9508000016212464,7.188000202178955
9,0.2952,0.3524,0.4805,0.0175,0.9567999839782716,7.345499992370605
10,0.2381,0.381,0.4805,0.0076,0.8131999969482422,3.2072999477386475
11,0.2381,0.4095,0.4805,0.015,0.9304999709129332,6.2926998138427725
13,0.2381,0.581,0.5584,0.0163,0.9836999773979188,6.863999843597412
14,0.2381,0.6095,0.5584,0.0186,0.9876999855041504,7.8038997650146475
15,0.2381,0.6095,0.5974,0.0088,0.8377000093460083,3.6877999305725098
19,0.3524,0.6952,0.7143,0.0114,0.870199978351593,4.769000053405762
24,0.6952,0.5238,0.7532,0.0174,0.9416000247001648,7.321300029754639
25,0.6952,0.5524,0.7532,0.0197,0.9681000113487244,8.261300086975098
26,0.7238,0.5524,0.7532,0.0132,0.9160000085830688,5.5620999336242685
28,0.6952,0.5524,0.7922,0.0184,0.968999981880188,7.743500232696532
