anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
9,0.3444,0.2778,0.37799999999999995,0.0139,0.8375999927520752,5.00600004196167
13,0.3444,0.2778,0.4146,0.0129,0.8874999880790709,4.65939998626709
14,0.3444,0.4778,0.4512,0.012,0.8780999779701233,4.310500144958496
18,0.3778,0.2444,0.4878,0.0155,0.9052000045776368,5.5910000801086435
23,0.8111,0.5778,0.4878,0.0192,0.8967999815940857,6.9060001373291025
32,0.4778,0.6111,0.561,0.013000000000000001,0.8528000116348267,4.667900085449219
33,0.4111,0.7444,0.561,0.0128,0.8525000214576721,4.599400043487549
34,0.7444,0.6111,0.5976,0.0139,0.8482999801635742,5.0218000411987305
35,0.7778,0.6111,0.5976,0.0146,0.8945999741554259,5.270899772644043
36,0.4444,0.6444,0.5976,0.0133,0.9344000220298768,4.775000095367432
37,0.2778,0.4778,0.6341,0.0177,0.9728000164031982,6.380099773406982
38,0.3111,0.4778,0.6341,0.0168,0.9653999805450441,6.04449987411499
40,0.4444,0.6111,0.6341,0.0181,0.9375,6.527699947357178
41,0.7111,0.6111,0.6341,0.0171,0.9550999999046326,6.142899990081787
42,0.7444,0.6111,0.6341,0.0165,0.9559999704360962,5.922900199890138
43,0.7778,0.6111,0.6341,0.0146,0.9248999953269958,5.264900207519531
44,0.4444,0.6444,0.6341,0.0199,0.9574999809265136,7.170499801635742
45,0.7111,0.6444,0.6341,0.0099,0.8382999897003174,3.549599885940552
46,0.2778,0.4778,0.6707,0.0163,0.9844999909400941,5.875
47,0.3111,0.4778,0.6707,0.016,0.9854999780654908,5.768899917602539
49,0.7778,0.5444,0.6707,0.0182,0.9545000195503236,6.535299777984619
50,0.3444,0.6111,0.7073,0.0114,0.915000021457672,4.101900100708009
51,0.3444,0.6444,0.7073,0.0164,0.9660999774932858,5.91510009765625
52,0.2444,0.5444,0.7805,0.0128,0.8622999787330627,4.623700141906738
