anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
0,0.6997,0.3864,0.3182,0.009000000000000001,0.8525000214576721,3.451299905776977
1,0.7311,0.4178,0.3182,0.0145,0.8855000138282776,5.543300151824951
2,0.1984,0.3238,0.5909,0.0125,0.9179999828338624,4.792300224304199
3,0.1984,0.4491,0.5909,0.0121,0.8737999796867371,4.6459999084472665
4,0.2298,0.5431,0.5909,0.011,0.8148999810218811,4.211699962615967
5,0.1984,0.4491,0.625,0.01,0.8637999892234802,3.821000099182129
6,0.2924,0.5117,0.625,0.015,0.916800022125244,5.755199909210205
7,0.3238,0.5117,0.625,0.0155,0.90420001745224,5.9277000427246085
8,0.6057,0.6057,0.625,0.0113,0.8766000270843506,4.336100101470946
9,0.2924,0.5117,0.6591,0.0193,0.94650000333786,7.396399974822997
10,0.3238,0.5117,0.6591,0.0152,0.8812000155448914,5.825699806213379
11,0.2611,0.3238,0.6932,0.018000000000000002,0.9412999749183656,6.911499977111816
12,0.3551,0.6057,0.6932,0.0093,0.8586000204086304,3.5741999149322514
