anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
0,0.79,0.61,0.3012,0.0141,0.9039000272750854,5.641200065612793
1,0.79,0.61,0.3373,0.0097,0.859000027179718,3.890300035476685
2,0.28,0.67,0.4819,0.0099,0.8486999869346619,3.9514999389648438
3,0.76,0.58,0.5181,0.0101,0.8723999857902527,4.047900199890137
4,0.28,0.67,0.5181,0.0108,0.8935999870300293,4.338500022888184
5,0.22,0.55,0.5542,0.0207,0.9757999777793884,8.297800064086914
6,0.25,0.55,0.5542,0.0129,0.901300013065338,5.157599925994873
7,0.22,0.58,0.5542,0.019,0.9138000011444092,7.60069990158081
8,0.25,0.58,0.5542,0.0142,0.9085999727249146,5.660399913787843
9,0.31,0.34,0.5904,0.016,0.9670000076293944,6.381999969482423
10,0.31,0.37,0.5904,0.0181,0.9828000068664552,7.257699966430664
11,0.22,0.55,0.5904,0.0192,0.9760000109672546,7.6666998863220215
12,0.25,0.55,0.5904,0.0152,0.9580000042915344,6.099699974060059
13,0.22,0.58,0.5904,0.0181,0.9296000003814696,7.25600004196167
14,0.25,0.58,0.5904,0.0166,0.9592999815940856,6.624100208282473
15,0.73,0.64,0.5904,0.0142,0.883899986743927,5.6946001052856445
16,0.31,0.34,0.6265,0.0078,0.814300000667572,3.138799905776977
17,0.31,0.37,0.6265,0.0179,0.9796000123023988,7.145199775695801
18,0.7,0.4,0.6988,0.0131,0.9193999767303468,5.249899864196777
19,0.28,0.43,0.6988,0.0191,0.9657999873161316,7.648399829864503
20,0.28,0.46,0.6988,0.0201,0.9718999862670898,8.043999671936035
21,0.73,0.52,0.6988,0.0189,0.9598000049591064,7.571300029754639
22,0.76,0.52,0.6988,0.0148,0.9538000226020812,5.904300212860107
23,0.73,0.55,0.6988,0.0195,0.9623000025749208,7.817999839782715
24,0.76,0.55,0.6988,0.0131,0.9221000075340272,5.230800151824951
25,0.37,0.37,0.7349,0.0164,0.9462000131607056,6.579599857330322
26,0.4,0.37,0.7349,0.0121,0.8924000263214111,4.826399803161621
27,0.64,0.37,0.7349,0.0092,0.8284000158309937,3.661799907684326
28,0.28,0.43,0.7349,0.0147,0.9369999766349792,5.880799770355225
29,0.28,0.46,0.7349,0.018000000000000002,0.9678999781608582,7.195000171661378
30,0.25,0.52,0.7349,0.0104,0.8472999930381775,4.168600082397462
