anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
6,0.2933,0.2933,0.469,0.0194,0.91430002450943,5.8333001136779785
7,0.2533,0.3333,0.469,0.0226,0.9628999829292296,6.786799907684326
8,0.2933,0.3333,0.469,0.0262,0.9653999805450441,7.848100185394287
9,0.3333,0.2933,0.5103,0.0107,0.8152999877929688,3.207900047302246
10,0.2933,0.3333,0.5103,0.0141,0.8209000229835509,4.23199987411499
15,0.3733,0.3333,0.6759,0.0161,0.8519999980926514,4.8368000984191895
18,0.3733,0.3333,0.7172,0.0129,0.8557999730110168,3.874399900436402
23,0.3333,0.3733,0.7586,0.0107,0.8025000095367432,3.2221999168396
24,0.3333,0.4133,0.7586,0.0109,0.8205999732017517,3.27620005607605
31,0.6133,0.5333,0.8828,0.0206,0.9322999715805054,6.190599918365479
