anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
0,0.2235,0.3294,0.4189,0.0185,0.9282000064849854,6.286399841308594
2,0.7882,0.4706,0.4595,0.0151,0.8259000182151794,5.123899936676025
3,0.2235,0.2941,0.5405,0.0234,0.965399980545044,7.959099769592285
4,0.2588,0.2941,0.5405,0.0143,0.8738999962806702,4.852000236511231
5,0.1882,0.4353,0.6622,0.0092,0.8403999805450441,3.1233000755310063
6,0.1529,0.4706,0.6622,0.021,0.9361000061035156,7.146200180053711
7,0.1882,0.4706,0.6622,0.0192,0.9610999822616576,6.5233001708984375
8,0.2941,0.5059,0.6622,0.02,0.8025000095367432,6.784599781036378
9,0.7176,0.3294,0.7027,0.0167,0.9039999842643738,5.692999839782715
10,0.1882,0.4706,0.7027,0.0126,0.9182999730110168,4.285200119018556
11,0.7529,0.4706,0.7432,0.013,0.8011999726295471,4.422800064086914
12,0.7529,0.5059,0.7432,0.0209,0.9660000205039978,7.10920000076294
13,0.7882,0.5059,0.7432,0.0197,0.9746999740600586,6.710700035095215
14,0.7529,0.5059,0.7838,0.0171,0.9587000012397766,5.807700157165527
15,0.7882,0.5059,0.7838,0.0116,0.8033000230789185,3.938499927520752
16,0.7176,0.5765,0.8243,0.0141,0.8874999880790709,4.7821998596191415
17,0.2588,0.6118,0.8243,0.0103,0.8034999966621399,3.5071001052856445
