anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
8,0.8367,0.4388,0.3478,0.0156,0.8508999943733215,6.116199970245361
12,0.8061,0.4388,0.4596,0.0161,0.9872000217437744,6.303999900817871
13,0.8061,0.4694,0.4596,0.0063,0.8064000010490417,2.476799964904785
14,0.1939,0.5306,0.5342,0.0191,0.9674999713897704,7.482900142669678
15,0.2245,0.5306,0.5342,0.0144,0.930999994277954,5.661799907684326
16,0.1939,0.5306,0.5714,0.0168,0.962499976158142,6.571300029754639
17,0.2245,0.5306,0.5714,0.0141,0.9452000260353088,5.537000179290772
18,0.2245,0.6224,0.5714,0.0143,0.9039999842643738,5.6076998710632315
19,0.2857,0.5612,0.6087,0.0154,0.9422000050544742,6.034800052642822
20,0.2857,0.5918,0.6087,0.0176,0.9670000076293944,6.918700218200684
21,0.2245,0.6224,0.6087,0.0118,0.915499985218048,4.625500202178955
22,0.3163,0.6224,0.6087,0.0167,0.878600001335144,6.553100109100343
24,0.3163,0.6224,0.6459999999999999,0.0204,0.9433000087738036,8.009300231933594
26,0.7449,0.5,0.6832,0.0153,0.930299997329712,5.995200157165527
29,0.7755,0.5612,0.7205,0.0114,0.876800000667572,4.481299877166748
30,0.2551,0.6837,0.7205,0.0194,0.9556000232696532,7.605400085449219
35,0.6837,0.4694,0.795,0.0114,0.8230999708175659,4.46560001373291
37,0.3163,0.5612,0.795,0.016,0.9063000082969666,6.27370023727417
41,0.6837,0.6224,0.8696,0.0179,0.9520999789237976,7.011000156402588
