anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
0,0.2111,0.5444,0.3735,0.0163,0.9168999791145324,5.8611998558044425
1,0.2111,0.5778,0.3735,0.0133,0.8435999751091003,4.783400058746338
2,0.2444,0.4111,0.4458,0.013999999999999999,0.8391000032424927,5.051499843597412
3,0.2778,0.4778,0.5181,0.0111,0.8212000131607056,3.9892001152038574
4,0.2778,0.5111,0.5181,0.0148,0.8797000050544739,5.332900047302246
5,0.2778,0.5444,0.5181,0.0191,0.9139000177383424,6.863100051879883
6,0.3111,0.5444,0.5181,0.015,0.8108000159263611,5.405600070953369
7,0.2778,0.5111,0.5542,0.019,0.9520999789237976,6.830399990081787
8,0.3111,0.5111,0.5542,0.0149,0.9544000029563904,5.3652000427246085
9,0.2778,0.5444,0.5542,0.0222,0.9685999751091005,8.009599685668945
10,0.3111,0.5444,0.5542,0.0191,0.9685999751091005,6.861100196838379
11,0.2444,0.6111,0.5904,0.0131,0.8485999703407288,4.733099937438965
