anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
2,0.2857,0.2857,0.4804,0.0206,0.97079998254776,7.19379997253418
3,0.2514,0.32,0.4804,0.0142,0.8845999836921692,4.957799911499023
4,0.2857,0.32,0.4804,0.0205,0.9753999710083008,7.16510009765625
5,0.2514,0.2857,0.514,0.0122,0.8119999766349792,4.2795000076293945
6,0.2857,0.2857,0.514,0.0109,0.8381999731063843,3.811899900436402
7,0.4229,0.5943,0.6816,0.0161,0.8436999917030334,5.648399829864503
10,0.2514,0.4571,0.8156,0.0159,0.8959000110626221,5.571499824523926
11,0.6286,0.6971,0.8156,0.0209,0.9682000279426576,7.31790018081665
12,0.2514,0.4571,0.8492,0.0221,0.9376999735832214,7.7347002029418945
13,0.32,0.5943,0.8827,0.0107,0.8070999979972839,3.751300096511841
14,0.2857,0.6286,0.8827,0.0142,0.847000002861023,4.973899841308594
16,0.7657,0.56,0.9162,0.0081,0.8949999809265137,2.850800037384033
