anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
0,0.6172,0.6172,0.1891,0.0185,0.9117000102996826,6.223299980163574
1,0.6172,0.6528,0.1891,0.0226,0.9799000024795532,7.601799964904785
2,0.6172,0.6172,0.2327,0.0167,0.8370000123977661,5.626399993896484
3,0.6172,0.6528,0.2327,0.0222,0.972000002861023,7.466300010681152
4,0.6172,0.7240000000000001,0.32,0.0164,0.9144999980926514,5.529399871826172
10,0.1899,0.3323,0.3636,0.0127,0.9488999843597412,4.287199974060059
12,0.1543,0.368,0.3636,0.0084,0.8891000151634216,2.8475000858306885
13,0.3323,0.4748,0.3636,0.0235,0.9567000269889832,7.9319000244140625
14,0.6172,0.7240000000000001,0.3636,0.0089,0.8062000274658203,3.00440001487732
24,0.6884,0.3323,0.4509,0.0089,0.8008999824523926,3.0016999244689937
26,0.6884,0.368,0.4509,0.0086,0.8159999847412109,2.8965001106262207
29,0.2967,0.7596,0.4509,0.0207,0.9139999747276306,6.975299835205077
30,0.6172,0.7596,0.4509,0.026,0.953000009059906,8.747500419616701
31,0.6528,0.7596,0.4509,0.0228,0.9445000290870668,7.668499946594237
32,0.3323,0.4392,0.4945,0.0177,0.8944000005722046,5.974899768829348
33,0.7596,0.4392,0.4945,0.0221,0.9473000168800354,7.435800075531006
34,0.2255,0.546,0.4945,0.0098,0.8973000049591064,3.3032000064849854
35,0.7240000000000001,0.5816,0.4945,0.0187,0.9192000031471252,6.2926998138427725
36,0.2967,0.6884,0.4945,0.0223,0.9559999704360962,7.501200199127197
37,0.3323,0.6884,0.4945,0.0165,0.9024999737739564,5.571199893951416
38,0.2611,0.7240000000000001,0.4945,0.022,0.9409999847412108,7.424399852752685
39,0.2967,0.7240000000000001,0.4945,0.0246,0.9703999757766724,8.27400016784668
40,0.3323,0.7240000000000001,0.4945,0.0208,0.9535999894142152,7.007999897003174
41,0.2611,0.7596,0.4945,0.0176,0.839900016784668,5.943999767303468
42,0.6172,0.7596,0.4945,0.0235,0.9419000148773192,7.930600166320801
44,0.2255,0.4392,0.5382,0.012,0.8205999732017517,4.036799907684326
45,0.2611,0.4392,0.5382,0.021,0.9490000009536744,7.075500011444093
46,0.2255,0.546,0.5382,0.0108,0.9004999995231628,3.651099920272826
47,0.2255,0.5816,0.5382,0.0168,0.9373999834060668,5.660600185394287
48,0.2255,0.6172,0.5382,0.0199,0.9544000029563904,6.716700077056885
49,0.2611,0.7240000000000001,0.5382,0.0221,0.96670001745224,7.449900150299072
50,0.2967,0.7240000000000001,0.5382,0.0194,0.9652000069618224,6.53980016708374
53,0.2611,0.7596,0.5382,0.0191,0.904699981212616,6.42609977722168
54,0.7596,0.546,0.5818,0.0235,0.975499987602234,7.912499904632567
55,0.2255,0.5816,0.5818,0.012,0.9017999768257141,4.053800106048584
56,0.2255,0.6172,0.5818,0.015,0.9165999889373779,5.049699783325195
57,0.7596,0.6172,0.5818,0.017,0.9549999833106996,5.73859977722168
58,0.2967,0.7240000000000001,0.5818,0.0137,0.8440999984741211,4.622399806976318
59,0.6172,0.4036,0.6255,0.0138,0.8348000049591064,4.658100128173828
60,0.7596,0.546,0.6255,0.0189,0.9539999961853028,6.372499942779541
61,0.7596,0.6172,0.6255,0.0098,0.8593000173568726,3.2964999675750732
62,0.3323,0.6528,0.6255,0.0163,0.8019999861717224,5.508900165557861
64,0.5816,0.4036,0.6691,0.0073,0.8011000156402588,2.447499990463257
65,0.6172,0.4036,0.6691,0.0209,0.9787999987602234,7.0585999488830575
66,0.6172,0.4392,0.6691,0.0127,0.8179000020027161,4.296000003814696
67,0.3323,0.7596,0.6691,0.0101,0.8716999888420105,3.416199922561645
68,0.2255,0.5104,0.7127,0.0132,0.8179000020027161,4.4425997734069815
69,0.2611,0.5104,0.7127,0.0177,0.9472000002861024,5.951600074768066
