anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
0,0.841,0.4718,0.3709,0.0122,0.8859999775886536,4.749100208282472
1,0.841,0.4718,0.4106,0.0136,0.90829998254776,5.2999000549316415
2,0.2872,0.5026,0.4901,0.0168,0.9379000067710876,6.558199882507324
3,0.2872,0.3179,0.5298,0.0102,0.8184999823570251,3.9593000411987305
4,0.8103,0.4103,0.5298,0.0173,0.972000002861023,6.728700160980225
5,0.8103,0.441,0.5298,0.0188,0.9664000272750854,7.318600177764893
6,0.8103,0.4103,0.5695,0.0138,0.9531000256538392,5.387800216674805
7,0.8103,0.441,0.5695,0.0159,0.955900013446808,6.2112998962402335
8,0.2872,0.441,0.6887,0.0188,0.9639999866485596,7.31820011138916
9,0.2872,0.4718,0.6887,0.0201,0.9563000202178956,7.840700149536133
12,0.2872,0.441,0.7285,0.0173,0.9520000219345092,6.760000228881836
13,0.2872,0.4718,0.7285,0.0185,0.9628999829292296,7.230500221252441
