anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
0,0.6345,0.6345,0.2747,0.0197,0.9829999804496764,5.711599826812744
5,0.7586,0.7172,0.4066,0.0203,0.9223999977111816,5.879199981689452
7,0.2207,0.3448,0.4396,0.0247,0.9610000252723694,7.157299995422362
8,0.2207,0.3862,0.4396,0.0283,0.9743000268936156,8.200300216674805
11,0.2207,0.3448,0.4725,0.0229,0.9541000127792358,6.645699977874756
14,0.3034,0.2621,0.5055,0.0194,0.9251999855041504,5.621300220489502
23,0.3448,0.2621,0.5385,0.0108,0.8601999878883362,3.1424999237060547
24,0.3862,0.2621,0.5385,0.0241,0.972000002861023,6.980599880218506
28,0.8414,0.469,0.5385,0.0217,0.9538000226020812,6.2916998863220215
30,0.2621,0.7172,0.5385,0.0119,0.8215000033378601,3.4481999874114986
32,0.3034,0.3862,0.5714,0.016,0.8840000033378601,4.6423001289367685
33,0.3034,0.4276,0.5714,0.024,0.973900020122528,6.962699890136719
34,0.7586,0.5103,0.5714,0.0148,0.875,4.283400058746338
37,0.2207,0.6759,0.5714,0.0175,0.9099000096321106,5.07390022277832
38,0.4276,0.5517,0.6044,0.0217,0.9061999917030334,6.302000045776367
39,0.7586,0.5517,0.6044,0.016,0.8522999882698059,4.649799823760986
40,0.4276,0.5517,0.6374,0.0266,0.9531999826431274,7.707900047302246
41,0.4276,0.5517,0.6703,0.0174,0.8201000094413757,5.048500061035156
42,0.3034,0.3448,0.7033,0.0193,0.8871999979019165,5.597400188446045
43,0.4276,0.5517,0.7033,0.0134,0.8550999760627747,3.895900011062622
44,0.2207,0.4276,0.7363,0.0237,0.91839998960495,6.85860013961792
46,0.2207,0.5931,0.7363,0.011,0.8014000058174133,3.200200080871582
48,0.7172,0.6345,0.7692,0.0142,0.8540999889373779,4.125699996948241
