anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
2,0.8652,0.3972,0.3926,0.0228,0.942300021648407,6.4348998069763175
4,0.3121,0.7801,0.5517,0.0294,0.9702000021934508,8.297800064086914
5,0.3121,0.8227,0.5517,0.03,0.9678999781608582,8.453000068664549
8,0.8227,0.5674,0.5836,0.0165,0.8438000082969666,4.6641998291015625
9,0.3121,0.7801,0.5836,0.0259,0.9408000111579896,7.304200172424316
10,0.3121,0.8227,0.5836,0.0296,0.9531999826431274,8.339500427246094
12,0.8227,0.5674,0.6154,0.0237,0.9621000289916992,6.691400051116943
13,0.8227,0.3972,0.7109,0.0152,0.8341000080108643,4.2744998931884775
14,0.8227,0.4397,0.7109,0.0187,0.8906999826431274,5.2831997871398935
15,0.695,0.6525,0.7427,0.0131,0.8555999994277954,3.691800117492676
16,0.227,0.3972,0.7745,0.0265,0.9884999990463256,7.471199989318848
17,0.227,0.4397,0.7745,0.0239,0.9758999943733216,6.746699810028076
18,0.227,0.3972,0.8064,0.0276,0.995199978351593,7.775100231170652
19,0.227,0.4397,0.8064,0.0286,0.9959999918937684,8.05679988861084
20,0.3121,0.5248,0.87,0.017,0.823199987411499,4.786099910736084
21,0.3121,0.6099,0.9019,0.0155,0.8597000241279602,4.379700183868408
22,0.3121,0.5674,0.9337,0.0143,0.8131999969482422,4.034599781036377
