anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
0,0.3111,0.4444,0.3356,0.0246,0.9930999875068665,8.85949993133545
1,0.3444,0.4444,0.3356,0.0173,0.9589999914169312,6.211400032043457
2,0.3111,0.4444,0.3758,0.0213,0.9459000229835508,7.668399810791016
3,0.7444,0.4444,0.3758,0.0164,0.9588000178337096,5.893799781799316
4,0.7778,0.4444,0.3758,0.0166,0.9821000099182128,5.978099822998048
5,0.8111,0.4444,0.3758,0.0186,0.9643999934196472,6.70550012588501
6,0.2444,0.5111,0.4161,0.015,0.9025999903678894,5.406300067901611
7,0.2778,0.5111,0.4161,0.018000000000000002,0.9459000229835508,6.471799850463867
8,0.2444,0.5444,0.4161,0.0152,0.8668000102043152,5.455100059509277
9,0.2778,0.5444,0.4161,0.0186,0.9248999953269958,6.698100090026856
14,0.2444,0.5111,0.4564,0.0191,0.9376000165939332,6.869500160217285
15,0.2778,0.5111,0.4564,0.0157,0.9052000045776368,5.644199848175049
16,0.2444,0.5444,0.4564,0.0213,0.965399980545044,7.650700092315674
17,0.2778,0.5444,0.4564,0.0213,0.9772999882698059,7.658299922943115
