anno_index,coord_x,coord_y,coord_z,diameter,malscore,diameter_mm
2,0.7444,0.7111,0.1342,0.0172,0.9643999934196472,6.2017998695373535
3,0.6778,0.5778,0.1745,0.0122,0.8338999748229979,4.376800060272217
4,0.2111,0.4111,0.255,0.0148,0.8910999894142151,5.344200134277344
5,0.7444,0.6111,0.2953,0.0178,0.9377999901771544,6.423999786376952
6,0.7778,0.6111,0.2953,0.0199,0.9750999808311462,7.157100200653076
9,0.3778,0.7444,0.2953,0.016,0.8794000148773193,5.75629997253418
10,0.7778,0.6111,0.3356,0.0095,0.810699999332428,3.431999921798706
15,0.2778,0.4778,0.4161,0.0192,0.9587000012397766,6.927599906921388
16,0.3111,0.3111,0.4564,0.013999999999999999,0.8622000217437744,5.054999828338623
17,0.3444,0.3111,0.4564,0.0137,0.868399977684021,4.943699836730957
18,0.2778,0.4778,0.4564,0.0202,0.9783999919891356,7.264599800109862
24,0.3111,0.4778,0.5369,0.0141,0.8665000200271606,5.0638999938964835
29,0.3111,0.4778,0.5772,0.0079,0.817799985408783,2.844099998474121
35,0.3111,0.6778,0.698,0.021,0.9718999862670898,7.544600009918213
36,0.3444,0.6778,0.698,0.0194,0.9778000116348268,6.981100082397461
37,0.3111,0.7111,0.698,0.0232,0.974399983882904,8.350099563598633
38,0.3444,0.7111,0.698,0.0221,0.9740999937057496,7.9415998458862305
44,0.4111,0.5778,0.8591,0.0142,0.9020000100135804,5.1041998863220215
